epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.91467,1.07464,2.08,0.25102,0.54185,1.19373,0.80308,0.85714,0.91237,0.71289,1,0.69268,0.72232,0.35212,0.88989,3.80286,0.40482,0.5125,1.09167,0,0,0
2,1.4922,1.22987,4.32645,0.35185,0.97362,1.28066,0.84376,0.85714,0.90699,0.70044,0.98397,0.64286,0.71047,0.35102,0.88797,3.72121,0.4077,0.50423,1.09168,1.9802e-05,1.9802e-05,1.9802e-05
3,2.02964,1.43536,3.46859,0.40948,1.15112,1.42579,0.84216,0.92857,0.91104,0.69618,0.9858,0.64286,0.7104,0.36488,0.89719,3.71576,0.40755,0.51216,1.09774,3.9208e-05,3.9208e-05,3.9208e-05
4,2.46668,1.71379,4.13528,0.3986,1.43196,1.81779,0.84668,0.92857,0.92195,0.70909,0.98592,0.64286,0.7562,0.36738,0.89003,3.72393,0.4085,0.51495,1.09328,5.8218e-05,5.8218e-05,5.8218e-05
5,2.91052,1.54312,3.65156,0.38716,1.25042,1.4033,0.85158,0.92857,0.92762,0.70848,0.98522,0.64286,0.76078,0.36697,0.89316,3.72958,0.40734,0.50819,1.09572,7.6832e-05,7.6832e-05,7.6832e-05
6,3.41689,1.56287,3.55953,0.33237,0.98625,1.52577,0.96614,0.85714,0.93089,0.71322,0.78045,0.85714,0.8658,0.38567,0.92154,3.71007,0.40238,0.51309,1.10919,9.505e-05,9.505e-05,9.505e-05
7,4.02297,1.27971,2.76288,0.32612,1.08363,1.20178,0.86152,0.88997,0.91629,0.70983,0.78185,0.85714,0.81981,0.34565,0.98588,3.9403,0.40678,0.5475,1.13302,0.000112872,0.000112872,0.000112872
8,4.65559,1.19753,2.59917,0.28336,1.03005,1.23573,0.92291,0.92857,0.92167,0.69494,0.77563,0.78571,0.76764,0.33528,0.98381,3.88568,0.4044,0.54471,1.12853,0.000130298,0.000130298,0.000130298
9,5.25289,0.93746,3.07559,0.40838,0.6062,1.07615,0.91479,0.78571,0.85407,0.6527,0.73548,0.79492,0.82082,0.31972,1.02298,4.09433,0.40378,0.56749,1.15294,0.000147328,0.000147328,0.000147328
10,5.83075,1.15262,3.19004,0.2199,0.82822,1.26154,0.91412,0.76166,0.84284,0.65374,0.95331,0.64286,0.73293,0.29962,1.07033,4.23365,0.40153,0.60178,1.1836,0.000163962,0.000163962,0.000163962
11,6.43611,0.8059,2.48883,0.31772,0.56546,1.08951,0.8354,0.72581,0.83323,0.63905,0.94331,0.64286,0.73824,0.25809,1.17017,4.61217,0.40364,0.66217,1.24968,0.0001802,0.0001802,0.0001802
